seed,r_requested,r_actual,n_low,epsilon,K1,K2_gap,cost,direct_cost,cost_over_direct,target_reached,hf_iterations_run,warm_gap,warm_distance,transfer_distance_bound,L1,L2,mu,R1,R2,Delta,K1_continuous,K1_selected,comparison_complete
11,0.050000000000000003,0.050000000000000003,5500,0.001,65,1,4.25,14,0.30357142857142855,1,10,0.0012770880090838821,0.11497536155382709,0.46706365389492394,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,128,1,7.4000000000000004,14,0.52857142857142858,1,10,0.0012746063697707255,0.11456292760061552,0.29355659678099977,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,144,1,8.1999999999999993,14,0.58571428571428563,1,10,0.0012742131732260686,0.11452774312518446,0.27366601704130827,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,145,1,8.25,14,0.5892857142857143,1,10,0.0012742332605935047,0.11452885328649073,0.27256860574532532,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,256,1,13.800000000000001,14,0.98571428571428577,1,10,0.001274483580314012,0.1145429477420913,0.2040489879523881,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,257,1,13.850000000000001,14,0.98928571428571443,1,10,0.0012744763840782936,0.114542109051332,0.20370070931881373,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,258,1,13.9,14,0.99285714285714288,1,10,0.0012744693109224547,0.11454129832823003,0.20335513051960818,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,458,1,23.900000000000002,14,1.7071428571428573,1,10,0.0012744711678891463,0.11454156633070842,0.16457183296684322,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,459,1,23.950000000000003,14,1.7107142857142859,1,10,0.0012744711862211489,0.11454156861470068,0.16446283415672761,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.001,512,1,26.600000000000001,14,1.9000000000000001,1,10,0.0012744693596830059,0.11454138580351857,0.15929518353808225,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,144.8525489036428,144,1
11,0.050000000000000003,0.050000000000000003,5500,0.0001,0,20,20,20,1,1,40,0.046806446546994396,1.0785891330868336,1.0785891330868336,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,1
11,0.050000000000000003,0.050000000000000003,5500,0.0001,1,20,20.050000000000001,20,1.0024999999999999,1,40,0.034799894727588931,0.99792018691133411,23.028489239248362,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,1
11,0.050000000000000003,0.050000000000000003,5500,0.0001,2,20,20.100000000000001,20,1.0050000000000001,1,40,0.027825306264771532,0.9328150159204095,11.57151530918607,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,1
11,0.050000000000000003,0.050000000000000003,5500,0.0001,4,20,20.199999999999999,20,1.01,1,40,0.016489133253527521,0.79139664838831425,5.8430283441549236,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,1
11,0.050000000000000003,0.050000000000000003,5500,0.0001,8,19,19.399999999999999,20,0.96999999999999997,1,22,0.0056608203017695091,0.54643624100121102,2.9787848616393497,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,1
11,0.050000000000000003,0.050000000000000003,5500,0.0001,16,14,14.800000000000001,20,0.73999999999999999,1,20,0.0019593387227043735,0.24808699838323092,1.5466631203815631,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,1
11,0.050000000000000003,0.050000000000000003,5500,0.0001,31,6,7.5499999999999998,20,0.3775,1,14,0.0013145458979001434,0.13030837832616113,0.85370098751489221,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,257.58830520700411,257,1
